season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,2,500,1,5,1,0,3,150,0,200,279
2,2,1000,0,4,2,0,3,200,400,600,292
1,2,500,0,4,1,0,3,300,0,200,415
2,1,1000,0,5,3,0,2,200,50,0,107
1,2,500,1,4,2,0,1,400,0,0,420
1,0,1000,1,4,2,0,2,200,400,0,51
2,2,1000,0,4,3,0,3,400,200,400,334
2,2,1000,0,4,3,0,3,100,0,100,349
2,0,1000,0,5,1,0,3,50,0,25,267
2,0,500,0,4,3,0,2,400,600,0,97
2,0,1000,0,5,3,0,2,100,0,0,134
2,1,500,1,3,2,0,2,100,50,0,23
2,1,500,1,4,1,0,3,75,0,25,402
2,1,500,0,5,2,0,3,75,75,125,192
2,1,1000,0,4,2,0,3,50,100,75,305
1,1,500,1,3,2,0,2,100,50,0,23
1,0,1000,0,5,3,0,2,100,0,0,134
2,0,1000,0,4,1,0,3,100,0,125,379
1,2,500,0,4,1,0,3,50,0,200,409
2,2,500,1,5,1,0,3,200,0,400,281
2,0,500,0,5,2,0,1,300,0,0,13
2,2,1000,0,4,3,0,3,100,0,25,358
1,2,500,0,5,3,0,2,300,100,0,89
2,2,1000,0,4,2,0,3,125,0,75,324
2,2,500,0,4,2,0,3,600,200,200,294
2,1,500,0,5,3,0,3,25,25,100,237
2,2,1000,0,5,2,0,3,150,50,100,168
2,2,1000,0,5,2,0,3,200,50,50,197
2,1,500,0,5,3,0,3,200,600,400,251
2,1,1000,0,5,3,0,3,400,600,200,252
2,0,500,0,5,1,0,3,125,75,50,261
2,2,500,0,4,2,0,3,300,50,150,296
1,1,500,0,5,1,0,3,150,25,125,400
2,2,500,0,5,2,0,3,125,25,75,195
2,1,1000,0,4,1,0,2,25,0,15,282
2,1,1000,0,3,3,0,2,300,0,0,117
1,2,500,0,5,1,0,3,125,25,125,401
2,1,1000,0,5,3,0,3,150,75,100,242
2,2,1000,0,5,3,0,3,400,400,200,209
2,1,500,0,5,3,0,3,100,0,25,230
2,1,500,0,5,3,0,3,100,100,75,240
2,1,500,0,5,2,0,3,125,0,75,187
2,2,500,0,5,3,0,3,75,50,25,229
2,2,1000,0,4,3,0,3,400,100,150,334
1,2,1000,1,5,3,0,2,600,0,0,142
1,0,1000,1,4,2,0,2,20,15,0,69
1,0,500,1,3,3,0,2,100,0,0,156
2,1,500,0,5,3,0,3,75,75,25,229
2,0,1000,1,4,2,0,2,200,600,0,50
2,2,1000,0,4,3,0,3,100,50,200,330
2,2,1000,0,4,3,0,2,400,200,0,93
2,1,500,1,4,3,0,2,400,0,0,143
1,1,500,0,5,1,0,1,400,200,0,438
1,2,1000,0,4,1,0,3,150,0,125,411
2,2,500,0,5,2,0,3,150,100,75,197
2,1,500,0,5,2,0,3,125,100,75,174
1,2,500,0,3,3,0,2,200,100,0,70
2,0,500,0,5,1,0,3,75,25,75,263
1,1,1000,0,4,3,0,2,50,0,0,133
2,1,1000,0,4,3,0,3,125,75,50,361
2,1,500,1,4,2,0,2,200,600,0,50
2,2,1000,0,4,3,0,3,75,75,25,355
2,1,500,0,5,3,0,3,75,100,100,247
2,2,500,1,5,2,0,2,100,100,0,44
2,2,500,1,5,1,0,3,100,0,25,276
2,2,1000,1,5,3,0,2,150,0,0,152
2,1,1000,0,5,2,0,3,150,25,150,175
2,2,500,0,4,2,0,3,50,25,125,301
2,2,500,0,4,2,0,3,50,0,150,325
1,1,1000,0,5,1,0,3,125,25,150,400
2,2,1000,0,5,2,0,3,150,0,100,188
1,1,1000,0,4,1,0,3,50,0,100,409
1,0,500,1,4,2,0,2,600,600,0,49
